fixture_id,fixture_opta_id,gameweek,team_h_id,team_h_opta_id,team_h_name,team_h_short_name,team_a_id,team_a_opta_id,team_a_name,team_a_short_name,team_h_score,team_a_score,kickoff_time,finished,started,team_h_difficulty,team_a_difficulty
306,2596795,1,13,11087,Damac,DAM,17,6846,Al Hazem,HAZ,1,1,2025-08-28T16:05:00Z,True,True,,
1,2596797,1,1,6770,Al Ahli,AHL,16,15209,NEOM S.C.,NEO,1,0,2025-08-28T18:00:00Z,True,True,,
2,2596796,1,6,5680,Al Ettifaq,ETF,15,15213,Al Kholood,KHL,2,1,2025-08-28T18:00:00Z,True,True,,
4,2596798,1,5,1317,Al Hilal,HIL,10,9622,Al Riyadh,RIY,2,0,2025-08-29T15:50:00Z,True,True,,
5,2596799,1,11,6774,Al Shabab,SHA,8,1364,Al Khaleej,KHA,1,4,2025-08-29T18:00:00Z,True,True,,
3,2596800,1,12,6778,Al Taawoun,TAA,9,6780,Al Nassr,NSR,0,5,2025-08-29T18:00:00Z,True,True,,
6,2596801,1,3,6772,Al Fateh,FAT,4,10483,Al Fayha,FAY,1,2,2025-08-30T15:55:00Z,True,True,,
7,2596803,1,2,15207,Al Okhdood,OKH,7,1316,Al Ittihad,ITH,2,5,2025-08-30T18:00:00Z,True,True,,
8,2596802,1,14,6775,Al Qadsiah,QAD,18,20546,Al Najmah,NAJ,3,1,2025-08-30T18:00:00Z,True,True,,
9,2596804,2,6,5680,Al Ettifaq,ETF,1,6770,Al Ahli,AHL,0,0,2025-09-12T15:25:00Z,True,True,,
11,2596805,2,11,6774,Al Shabab,SHA,17,6846,Al Hazem,HAZ,1,0,2025-09-12T15:35:00Z,True,True,,
12,2596809,2,7,1316,Al Ittihad,ITH,3,6772,Al Fateh,FAT,4,2,2025-09-12T18:00:00Z,True,True,,
13,2596807,2,8,1364,Al Khaleej,KHA,4,10483,Al Fayha,FAY,3,0,2025-09-13T15:25:00Z,True,True,,
14,2596808,2,2,15207,Al Okhdood,OKH,12,6778,Al Taawoun,TAA,2,3,2025-09-13T15:45:00Z,True,True,,
10,2596806,2,5,1317,Al Hilal,HIL,14,6775,Al Qadsiah,QAD,2,2,2025-09-13T18:00:00Z,True,True,,
16,2596810,2,10,9622,Al Riyadh,RIY,18,20546,Al Najmah,NAJ,2,1,2025-09-14T15:35:00Z,True,True,,
17,2596811,2,13,11087,Damac,DAM,16,15209,NEOM S.C.,NEO,1,2,2025-09-14T15:50:00Z,True,True,,
15,2596812,2,9,6780,Al Nassr,NSR,15,15213,Al Kholood,KHL,2,0,2025-09-14T18:00:00Z,True,True,,
19,2596813,3,15,15213,Al Kholood,KHL,13,11087,Damac,DAM,2,1,2025-09-18T15:40:00Z,True,True,,
18,2596814,3,12,6778,Al Taawoun,TAA,6,5680,Al Ettifaq,ETF,4,1,2025-09-18T15:40:00Z,True,True,,
20,2596815,3,16,15209,NEOM S.C.,NEO,2,15207,Al Okhdood,OKH,1,0,2025-09-18T18:00:00Z,True,True,,
23,2596816,3,14,6775,Al Qadsiah,QAD,8,1364,Al Khaleej,KHA,2,1,2025-09-19T15:15:00Z,True,True,,
22,2596817,3,4,10483,Al Fayha,FAY,11,6774,Al Shabab,SHA,0,0,2025-09-19T15:35:00Z,True,True,,
21,2596818,3,1,6770,Al Ahli,AHL,5,1317,Al Hilal,HIL,3,3,2025-09-19T18:00:00Z,True,True,,
25,2596819,3,17,6846,Al Hazem,HAZ,3,6772,Al Fateh,FAT,0,0,2025-09-20T15:40:00Z,True,True,,
24,2596820,3,18,20546,Al Najmah,NAJ,7,1316,Al Ittihad,ITH,0,1,2025-09-20T15:40:00Z,True,True,,
26,2596821,3,9,6780,Al Nassr,NSR,10,9622,Al Riyadh,RIY,5,1,2025-09-20T18:00:00Z,True,True,,
28,2596822,4,8,1364,Al Khaleej,KHA,12,6778,Al Taawoun,TAA,0,1,2025-09-25T15:10:00Z,True,True,,
29,2596823,4,11,6774,Al Shabab,SHA,15,15213,Al Kholood,KHL,1,2,2025-09-25T15:25:00Z,True,True,,
27,2596824,4,5,1317,Al Hilal,HIL,2,15207,Al Okhdood,OKH,3,1,2025-09-25T18:00:00Z,True,True,,
34,2596829,4,17,6846,Al Hazem,HAZ,1,6770,Al Ahli,AHL,0,2,2025-09-26T15:35:00Z,True,True,,
32,2596826,4,13,11087,Damac,DAM,6,5680,Al Ettifaq,ETF,1,3,2025-09-26T15:40:00Z,True,True,,
31,2596827,4,7,1316,Al Ittihad,ITH,9,6780,Al Nassr,NSR,0,2,2025-09-26T18:00:00Z,True,True,,
35,2596828,4,10,9622,Al Riyadh,RIY,16,15209,NEOM S.C.,NEO,2,3,2025-09-27T15:20:00Z,True,True,,
30,2596825,4,18,20546,Al Najmah,NAJ,4,10483,Al Fayha,FAY,1,2,2025-09-27T15:35:00Z,True,True,,
33,2596830,4,3,6772,Al Fateh,FAT,14,6775,Al Qadsiah,QAD,0,1,2025-09-27T18:00:00Z,True,True,,
