player_id,opta_id,first_name,second_name,web_name,known_name,team_id,team_opta_id,team_name,team_short_name,element_type,position,status,news,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,fmmp,winning_goals,won_tackle,accurate_pass,clearances_blocks_interceptions,shot_target,big_chance_created,big_chance_missed,performance_index,total_points,now_cost,selected_by_percent
85,629668,Abdullah,Abdo,Abdo,,1,6770,Al Ahli,AHL,1,GK,a,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.3
86,514747,Abdulrahman,Alsanby,Al Sanbi,,1,6770,Al Ahli,AHL,1,GK,a,,720,0,0,3,7,0,0,0,3,0,13,5,0,0,0,115,61,0,0,0,473,39,44,0.4
87,442526,Ali,Majrashy,Majrashi,,1,6770,Al Ahli,AHL,2,DEF,a,,2159,1,4,13,19,0,0,0,5,2,0,8,1,0,49,454,193,18,8,2,1632,157,53,16.2
90,669151,Bader,Kabli,Kabli,,1,6770,Al Ahli,AHL,1,GK,a,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.1
92,228286,Édouard,Mendy,Mendy,,1,6770,Al Ahli,AHL,1,GK,a,,2340,0,0,14,18,0,1,0,2,0,46,12,1,0,0,533,166,0,0,0,1776,156,57,23.4
93,629344,Eid,Al Muwallad,E. Al Muwallad,,1,6770,Al Ahli,AHL,3,MID,a,,164,0,0,0,3,0,0,0,4,0,0,0,0,0,5,100,25,0,0,0,622,13,44,0.2
94,465526,Enzo,Millot,Enzo Millot,,1,6770,Al Ahli,AHL,3,MID,a,,1938,3,3,14,13,0,0,0,9,0,0,5,0,0,21,678,123,33,8,4,1611,106,59,7.6
97,250793,Feras,Al Buraikan,Feras,,1,6770,Al Ahli,AHL,4,FWD,a,,1727,5,1,7,16,0,0,0,1,0,0,6,1,3,27,226,100,19,4,3,2087,102,62,6.0
98,173181,Franck,Kessié,Kessié,,1,6770,Al Ahli,AHL,3,MID,d,Doubtful - مشكوك في مشاركته,2165,5,4,13,17,0,0,0,5,0,0,13,2,2,15,758,138,33,4,6,1831,134,63,6.1
99,144485,Ivan,Toney,Toney,,1,6770,Al Ahli,AHL,4,FWD,a,,2745,32,7,15,24,0,0,1,4,0,0,33,9,12,13,348,99,93,8,19,2293,319,115,42.7
100,561163,Matteo,Dams,Dams,,1,6770,Al Ahli,AHL,2,DEF,a,,738,0,1,3,6,0,0,0,0,0,0,2,0,0,7,259,75,2,2,0,573,46,41,0.9
101,439128,Merih,Demiral,Demiral,,1,6770,Al Ahli,AHL,2,DEF,a,,1643,2,1,9,15,0,0,0,5,0,0,6,1,1,15,688,148,14,1,2,1315,117,58,10.7
102,629308,Mohammed,Abdulrahman,Abdulrahman,,1,6770,Al Ahli,AHL,2,DEF,a,,831,0,3,6,2,0,0,0,3,0,0,5,0,0,13,240,60,10,2,1,1177,76,44,0.2
