player_id,fixture_id,gameweek,kickoff_time,was_home,opponent_team_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,fmmp,winning_goals,won_tackle,accurate_pass,clearances_blocks_interceptions,shot_target,big_chance_created,big_chance_missed,performance_index,total_points,value,selected,transfers_in,transfers_out,transfers_balance
200,4,1,2025-08-29T15:50:00Z,True,10,Al Riyadh,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,43,0,0,0
200,10,2,2025-09-13T18:00:00Z,True,14,Al Qadsiah,2,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,48,2,10,-8
200,21,3,2025-09-19T18:00:00Z,False,1,Al Ahli,3,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,47,0,2,-2
200,27,4,2025-09-25T18:00:00Z,True,2,Al Okhdood,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,62,11,3,8
200,37,5,2025-10-18T14:45:00Z,False,6,Al Ettifaq,0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,60,3,4,-1
200,49,6,2025-10-24T18:00:00Z,False,7,Al Ittihad,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,54,1,6,-5
200,57,7,2025-10-31T14:50:00Z,True,11,Al Shabab,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,78,15,5,10
200,63,8,2025-11-07T17:30:00Z,False,18,Al Najmah,2,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,66,3,8,-5
200,75,9,2025-11-22T14:40:00Z,True,3,Al Fateh,2,1,False,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,51,1,43,62,1,2,-1
200,92,10,2025-12-26T17:30:00Z,True,8,Al Khaleej,3,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,93,13,2,11
200,103,11,2025-12-31T17:30:00Z,False,15,Al Kholood,1,3,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,95,18,7,11
200,116,12,2026-01-04T17:30:00Z,False,13,Damac,0,2,False,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,54,1,42,109,26,16,10
200,119,13,2026-01-08T14:55:00Z,True,17,Al Hazem,3,0,False,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,3,0,0,0,64,1,42,135,32,10,22
200,130,14,2026-01-12T17:30:00Z,True,9,Al Nassr,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,177,42,8,34
200,143,15,2026-01-18T17:30:00Z,False,16,NEOM S.C.,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,215,65,20,45
200,148,16,2026-01-22T17:30:00Z,True,4,Al Fayha,4,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,220,35,39,-4
200,160,17,2026-01-25T17:30:00Z,False,10,Al Riyadh,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,291,64,28,36
200,169,18,2026-01-29T17:30:00Z,False,14,Al Qadsiah,2,2,False,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,64,1,42,283,33,39,-6
200,173,19,2026-02-02T17:30:00Z,True,1,Al Ahli,0,0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,42,331,66,24,42
200,186,20,2026-02-05T17:30:00Z,False,2,Al Okhdood,0,6,False,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,69,1,42,311,31,62,-31
200,192,21,2026-02-13T15:25:00Z,True,6,Al Ettifaq,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,281,24,46,-22
200,201,22,2026-02-21T19:00:00Z,True,7,Al Ittihad,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,292,22,20,2
200,82,23,2026-02-24T19:00:00Z,False,12,Al Taawoun,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,291,16,15,1
200,214,24,2026-02-27T19:00:00Z,False,11,Al Shabab,3,5,False,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,43,1,42,294,20,19,1
200,219,25,2026-03-06T19:00:00Z,True,18,Al Najmah,4,0,False,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,42,265,7,39,-32
200,226,26,2026-03-14T19:00:00Z,False,3,Al Fateh,0,1,False,62,0,0,1,0,0,0,0,0,0,0,0,0,0,2,20,7,0,0,0,41,4,42,248,8,23,-15
200,236,27,2026-04-04T18:00:00Z,True,12,Al Taawoun,2,2,False,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,62,1,42,324,14,24,-10
200,256,27,2026-04-08T18:00:00Z,True,15,Al Kholood,6,0,False,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,1,0,0,59,1,42,324,14,24,-10
200,262,30,2026-04-28T18:00:00Z,True,13,Damac,1,0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,225,4,11,-7
200,274,31,2026-05-02T18:00:00Z,False,17,Al Hazem,0,3,False,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,57,1,42,221,5,11,-6
200,248,31,2026-05-05T18:00:00Z,False,8,Al Khaleej,1,2,False,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,52,1,42,221,5,11,-6
200,285,32,2026-05-12T18:00:00Z,False,9,Al Nassr,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,217,6,10,-4
200,292,33,2026-05-16T16:05:00Z,True,16,NEOM S.C.,2,0,False,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,54,1,42,212,1,5,-4
200,298,34,2026-05-21T18:00:00Z,False,4,Al Fayha,0,1,False,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,1,42,215,5,6,-1
